省,市,医院名称,地址,邮政编码,电话,院长,床位数,等级,日门诊量,特色专科
北京市,丰台区,丰台区长辛店医院,丰台区长辛店东山坡三里,100072,010-83876520,吴元,135,二级,518,神经内科
北京市,门头沟区,北京市门头沟区中医院,北京市门头沟区双峪路,102300,010-69856681,王金生,131,二级,277,内科、外科、肛肠科、皮科、骨伤科、妇科、肝炎科等
北京市,房山区,中国核工业北京四零一医院,房山区良乡新镇,,010-69357038,,,二级,,
北京市,昌平区,昌平区南口医院,昌平区南口镇南辛路2号,102202,010-69771229,刘景和,100,二级,229,
北京市,昌平区,北京市沙河医院,昌平区沙河镇,102206,010-69731335,武长江,200,二级,227,
北京市,昌平区,昌平区红十字会北郊医院,北京昌平区霍营,102209,010-69791530,吕孝华,550,二级,350,精神科、心血管科、老年病科等
北京市,平谷区,平谷区第二医院,平谷区,101200,,,,二级,,
北京市,怀柔县,怀柔县第二医院,怀柔汤河口,101400,010-81671047,刘海峰,100,二级,150,
北京市,大兴区,大兴区中医院,大兴区黄村镇兴丰大街,102600,010-69253752、69207782,高德兴,150,二级,414,内科、肛肠科、骨伤科、针灸科、男性科、放射科
北京市,大兴区,大兴区精神病院,大兴区矿林庄居委会,102600,010-69241984,于鲁明,120,二级,230,精神、音乐治疗室、心电图室、放射、B超室
北京市,密云县,密云县中医院,密云县新中街,101500,010-69043876、69044118,程院长,125,二级,431,正骨、按摩、针灸科、老年常见病科、脑血管病、糖尿病等
北京市,东城区,北京联合大学中医药学院附属医院北京鼓楼中医院,东城区豆腐池胡同13号,100009,010-64044445、64012356,李翔,201,二甲,600,男性科、胃科、骨头坏死、中医内科
北京市,东城区,北京市隆福医院,东城区美术馆东街18号,100010,010-64011133,寇志泰,251,二甲,1000,心血管内科、胸外科
北京市,东城区,北京市第六医院,交道口北二条36号,100007,010-64035566(总机)、64033703,付书浩,500,二甲,1118,心血管内科、呼吸科、急诊科、妇产科、骨科等
北京市,东城区,北京市和平里医院,东城区和平里北街18号,100013,010-64215431、64212297,孙卓富,350,二甲,1030,糖尿病、乳腺疾病、口腔科、脑血管疾病等
北京市,朝阳区,中国航空工业中心医院中国航空航天部361医院,安外北苑3号,100012,010-84931118,张萍,350,二甲,163,眼科、心血管内科、骨科、消化内科、神经外科、泌尿男科中心、肛肠科、激光科、理疗科
北京市,朝阳区,北京市朝阳区第二医院,朝阳区金台路13号内2号,100026,010-65045828,徐宝强,251,二甲,836,心血管内科、骨外科、妇产科、老年病科、普外科
北京市,朝阳区,朝阳区中医院,朝阳区工体南路6号,100020,010-65534914,李文泉,252,二甲,419,中风科、肝肾科、针灸科等
北京市,朝阳区,北京市红十字新华医院,朝阳区首钢冶金机械厂路口,100101,010-64949823,段政明,260,二甲,212,
北京市,朝阳区,北京老年病医院,小关西街2号,100029,010-64919821,李建平,450,二甲,79,口腔、老年病、脑血管内科、皮肤科、普外科
北京市,朝阳区,首都国际机场医院,朝阳区机场南路东里17楼,100621,010-64565268、64566811,,182,二甲,418,
北京市,朝阳区,北京冶金医院,朝阳区安定门外小关街51号,100029,010-64913931（总机）,王正义,300,二甲,500,骨科、足踝外科
北京市,朝阳区,北京市垂杨柳医院,朝阳区垂杨柳南街2号,100022,010-67718822,何兴国,400,二甲,1300,创伤外科、口腔、普外、胸外、耳鼻喉科、妇科等
北京市,朝阳区,北京市小庄医院,朝外金台路13号,100026,010-65023431,,251,二甲,390,心血管内科、肾脏内科、骨科等
北京市,西城区,北京市第二医院西城佳华骨关节病专科医院,西城区东绒线胡同78号,100031,010-66057043、66078408、66078393,耿玉田,250,二甲,2000,胸外科、普外科、结核科、皮肤科、泌尿外科等
北京市,西城区,北京市护国寺中医院,西城区护国寺大街棉花胡同83号,100035,010-66182697、66184261,刘苏中,300,二甲,1000,针灸、内科、骨科、中医儿科等
北京市,西城区,北京市二龙路医院,西城区下岗胡同1号,100032,010-66014447、66052843、66075617,林永宁,241,二甲,410,内科、外科、肛肠科、妇科、口腔科、中医科、五官科、眼科、骨科、老年病、糖尿病、肿瘤科、乳腺科等
北京市,西城区,北京市西城区平安医院(原福绥境医院),西城区赵登禹169号,100035,010-66180226,许亮,40,二甲,417,
北京市,海淀区,北京市中西医结合医院(北京中医药大学附属中西医结合医院),海淀区永定路东街3号,100039,010-68212076,赵锡银,350,二甲,1400,针灸科、整体治疗室、皮肤科、口腔科、整容整形科、胃镜室、碎石中心、放射科、子宫内膜异位等
北京市,海淀区,北京市化工职业病防治院北京化工医院,海淀香山一棵松50号,100093,010-62591723、62591502,乔昕,500,二甲,56,皮肤、五管科、妇科、职业病科等
北京市,海淀区,北京水利医院,海淀区玉渊潭南路普惠北里19号,100036,010-68254804,刘福进,300,二甲,468,呼吸科、睡眠科等
北京市,海淀区,北京市中关村医院,海淀中关村南路4号,100080,010-82629513、62559061,汪关宝,220,二甲,438,骨外科、普外科、心血管内科、消化科、消化内分泌科、前列腺、颈椎、腰椎中心、老年病、神经病等
北京市,海淀区,海淀区甘家口医院,海淀区增光路甲57号,100037,010-68315625,赵增培,71,二甲,316,脑血栓、心血管、肛肠科等
北京市,石景山区,北京市石景山医院,石景山路24号,100043,010-68668131(总机)、68872131,谢东晓,450,二甲,1400,运动医学、妇产科、脊柱外科等
北京市,石景山区,中国铁道建筑总公司总医院,石景山区京原路5号,100043,010-51880114、51880020、51880070,阴瑞,504,二甲,500,心脏外科、骨科、烧伤外科、肛肠外科、肿瘤科、老年病科、五官科、麻醉科、妇产科等
北京市,崇文区,北京市普仁医院(原：北京市第四医院),崇外大街100号,100062,010-67117711,刘建东,268,二甲,710,心血管、妇科、神经外科等
北京市,宣武区,北京市健宫医院(原：北京建工医院),宣武区儒福里6号,100054,010-63546588、63532299,徐捷,457,二甲,358,膝关节镜科、心血管科、介入中心科、肿瘤科、整形科、口腔科等
北京市,宣武区,北京市滨河医院,宣武区右安门东街50号,100054,010-63536633,韩素霞,128,二甲,164,综合性医院
北京市,宣武区,北京市回民医院,宣武区右安门内大街11号,100053,010-63527755,刘迎,300,二甲,3000,中医科、心血管内科
北京市,丰台区,丰台区丰台医院,丰台区西安街1号,100071,010-63811115、63813667,张扬,430,二甲,947,普外科、内分泌内科、肾内科、泌尿外科、神经内科、心血管内科、高压氧科等
北京市,丰台区,北京市结核病医院,丰台区马场97号,101149,010-69543261、69546819,许少发,533,二甲,617,
北京市,丰台区,中国航天工业总公司七三一医院,丰台区云岗,100074,010-68374065、68374441,刘西倚,480,二甲,930,漏斗胸矫形、再生障碍性贫血、整形美容
北京市,丰台区,北京铁路中心医院,丰台区丰台南路99号,100070,010-63736842、63730510,张凯,522,二甲,926,普外、胸外、妇产、神经内科、口腔、麻醉
北京市,门头沟区,北京市门头沟区医院,门头沟区桥东街10号,102300,010-69842251,肖长树,300,二甲,524,
北京市,房山区,房山区第一医院,房山区房窑路6号,102400,010-69313443,李景荣,455,二甲,858,心血管内科、骨科等
北京市,房山区,房山区第二医院,房山区良乡拱辰大街45号,102401,010-69351080（总机）,姜玉关,257,二甲,924,普外、中医、消化内科、妇产、内分泌内科、儿内、新生儿儿科等
北京市,房山区,房山区中医院,房山区城关保健路4号,102400,010-69314293,刘文宽,195,二甲,1096,骨科、妇产科、脑血管科、心血管科、呼吸科、消化科、结石科、疼痛科、内分泌科、男病科、皮肤科、肛肠科、理疗科等
北京市,房山区,房山区良乡医院,房山区良乡,,,,,二甲,,
北京市,昌平区,昌平区医院,昌平区和平街4号,102200,010-69742088、69742509,赵彪,425,二甲,709,
北京市,昌平区,昌平区中医院,昌平区城区镇东环路南段,102200,010-69742196,杨仲臣,108,二甲,252,心血管、脑血管、老年病、骨伤科、妇产科、肛肠科、糖尿病等
北京市,昌平区,北京市民康医院,昌平区沙河北大桥东200米,102206,010-80710893、80715747,李明,500,二甲,76,精神科、、老年综合科、神经内科、心脑血管病等
北京市,通州区,通州区中医医院,通州区车站路31号,101100,010-69542682,王宝玉,150,二甲,700,胸痹、中风、骨伤、肛肠、结石、皮肤、椎间盘突出、康复等
北京市,通州区,通州区潞河医院,通州区佟麟阁大街54号,101149,010-69543902,赵振林,538,二甲,1500,消化内科、口腔科、神经内科、儿科、心肾内、前列腺疾病科、骨科
北京市,平谷区,平谷区医院,平谷区新平北路59号,101200,010-89992020,王学文,480,二甲,1100,普外科
北京市,平谷区,平谷区中医院,平谷区老城,101200,010-69970960、89992302,于增瑞,87,二甲,268,中医内科、中医妇科、中医儿科、针灸科、正骨按摩科
北京市,怀柔县,怀柔县第一医院,怀柔县青春路1号,101400,010-69644822、69621321,李明华,291,二甲,800,心血管内科、普外科等
北京市,怀柔县,怀柔县中医院,北京怀柔县后横街甲1号,101400,010-69624125,李祥舒,160,二甲,500,内科、外科、妇科、儿科、骨伤科、针灸科
北京市,大兴区,大兴区人民医院,大兴区黄村西大街26号,102600,010-69241463,王克军,500,二甲,756,普外、心血管内科、口腔、中医、耳鼻喉科
北京市,大兴区,北京市仁和医院,大兴区黄村兴丰大街1号,102600,010-69242469(总机),牛本周,400,二甲,1100,呼吸内科、消化内科、心血管内科、老年病科、神经内科、骨科、普外科
北京市,大兴区,中国建筑公司第一工程局职工医院,大兴区兴丰北大街路西,102600,010-69244021,,243,二甲,456,
北京市,密云县,密云县医院,密云县古楼大街5号,101500,010-69043990,任向宏,403,二甲,918,心血管内科、神经内科等
北京市,顺义区,顺义区医院,顺义区光明南街3号,101300,010-69423220(总机),贾希武,372,二甲,688,妇产科等
北京市,顺义区,顺义区中医院,顺义区府前中街,101300,010-81492014,黄院长,242,二甲,280,内科、外科、妇科、儿科、针灸科、五官科
北京市,顺义区,北京市潮白河骨伤科医院,顺义区李遂镇柳各庄村北,101300,010-89481144、89482747,李士秀,300,二甲,500,软组织损伤、颈椎病、骨科疾病、全髋关节置换、脊柱肿瘤摘除等
北京市,延庆县,延庆县医院,延庆县东城街28号,102100,010-69103020、69144448,王顺全,300,二甲,732,心血管内科
北京市,丰台区,武警北京市第二总队医院,丰台区小屯路10号,100039,010-68212260、68212266,林长喜,150,二甲,120,烧伤科、骨髓炎科等
北京市,,武警北京市总队第三医院,北京市,,010-68215511(总机),,,二甲,,
北京市,通州区,中国人民解放军第二六三医院,通州区永顺西街87号,101149,010-66856510、66856518,吴明,400,二甲,520,创伤外科、皮肤科、内分泌科、康复理疗科、放射科等
北京市,海淀区,中国人民解放军三一六医院,海滨区香山路娘娘府甲2号,100093,010-66778362、66779321、66778369,刘智昌,200,二甲,400,心血管系统疾病、老年病科等
北京市,海淀区,中国人民解放军51112医院,海淀区永定路东街16号,100039,010-66817199,沈院长,,二甲,,心血管疾病
北京市,顺义区,中国人民解放军51116医院,顺义区,,010-66760384,,,二甲,,
北京市,海淀区,中国人民解放军六六四零零部队医院,海淀区五孔桥20号,100039,010-66382440、68168238,宫恩年,128,二甲,300,骨病专科、骨股头坏死治疗等
北京市,丰台区,丰台区铁营医院,丰台区东铁匠营横七条1号,100078,010-67646101,崔其祥,158,二乙,609,泌尿外科、普外科、骨外科、中医科、中西医结合科
北京市,昌平区,铁道部南口机车车辆厂医院,昌平南口镇新兴路8号,102202,010-69775274,郭趁义,120,二乙,322,消化内科、变态反应科、骨外科、五官、精神、普外
北京市,东城区,北京公安医院,东城区银闸胡同25号,100006,010-65133377、65135216、65256709,宋建名,500,三级,1500,心血管内科、肾脏内科、消化内科、呼吸内科、内分泌科、普外科、淋巴显微外科、泌尿外科、骨科、神经外科等
北京市,朝阳区,煤炭总医院,朝阳区西坝河南里29号,100028,010-64667755(总机),王院长,515,三级,700,神经外科、心脏内科、心脏外科等
北京市,朝阳区,中国民用航空总医院,朝阳区朝外高井甲1号,100025,010-85762244,郑信华,500,三级,700,肝癌、前列腺、肝胆空勒、呼吸内科、消化内科、心血管内科、血液内科、泌尿内科、神经内科、免疫内分泌科、普外科等
北京市,海淀区,北京老年医院北京胸科医院,海淀区温泉路118号,100095,010-62456936、62453972,黄卫祖,600,三级,615,肺结核、肺外结核、胸部肿瘤、呼吸系统疾病等
北京市,海淀区,中国航天中心医院(721医院),海淀区玉泉路15号,100039,010-68386421（院办）,金永成,700,三级,1200,消化内科、心血管内科、血液内科、普外科、神经外科、胸外科、心外科、妇科、骨科、神经内科等
北京市,石景山区,北京大学首钢医院,石景山区西黄村,100041,010-68875731、68294978、67631289,王楠,979,三级,2742,内科、外科、妇科、儿科等
北京市,石景山区,北京市工人疗养院北京市总工会八大处中医院,石景山区八大处西下庄,100041,010-88961133,韩连喜,848,三级,200,中老年慢性病、内科、外科、中医科、妇科、口腔科、男科、皮科、五官科、理疗针灸科、推拿按摩科等
北京市,丰台区,电力总医院(北京电力医院),丰台区广安门外六里桥,100073,010-63467631、63465865,赵振林,518,三级,1600,心血管内科、烧伤科、中西医结合骨伤科等
北京市,丰台区,北京航天总医院,丰台区东高地万源北路7号,100076,010-68383882、68383733,马洪山,520,三级,1047,心血管内科、普外科、影像中心、职业病科
北京市,门头沟区,北京京煤集团总医院,门头沟区黑山大街18号,102300,010-69849408、69842461,梁建业,736,三级,610,创伤骨科、妇产科、放射科、创伤科、矽肺专科、心血管内科、呼吸内科、消化内科、血液内科、普外科等
北京市,房山区,北京燕山石油化工(集团)有限公司医院,房山区燕山迎风街15号,102500,010-69342517、69345627,于文杰,600,三级,1000,神经外科、偏头痛、烧伤整形科、耳鼻咽喉科、眼科
北京市,房山区,北京市安康医院,房山区岳各庄镇,102406,010-61316044,吕秋霖,1600,三级,1134,各种精神疾病收治、精神医学司法鉴定及戒毒
北京市,昌平区,北京小汤山医院,昌平区小汤山镇,102211,010-61781818(总机),刘江,600,三级,577,慢性病的治疗、康复理疗按摩科等
北京市,西城区,中国人民解放军第二炮兵总医院(中国人民解放军二六二医院),西城区新外大街16号,100088,010-66343044,祝清华,600,三级,,烧伤、心脏手术等
北京市,东城区,中国医学科学院北京市协和医院,东城区帅府园1号,100730,010-65296114、65124875,戚可铭,1100,三甲,4000,
北京市,东城区,卫生部北京医院,北京市东单大华路1号,100730,010-65132266,张忠辉,1000,三甲,3000,心脏内科、呼吸内科、神经内科、心胸外科、神经外科、骨科、老年病
北京市,东城区,北京中医院,东城区美术馆后街23号,100010,010-64016677(总机)、64015884,王莒生,750,三甲,3000,针灸推拿、中医内科、肿瘤科、心血管科、消化科、肛肠科、肝病科、妇科、皮肤性病科、肾病科、骨科、外科
北京市,东城区,北京市妇幼保健院(原：北京妇产医院),东城区北池子骑河楼17号,100006,010-65250731(总机),陈宝英,364,三甲,1000,妇科、产科、新生儿科、计划生育科、男科
北京市,东城区,北京地坛医院(原：北京市第一传染病医院),安外大街地坛公园13号,100011,010-64211031,刘建英(代),500,三甲,300,肝病、艾滋病、
北京市,东城区,北京中医药大学东直门医院,东城区海运仓5号,100700,010-84013211,王玉来,458,三甲,1600,急症中心、中医脑病、肾病、中医内科、神经内科、内分泌科、呼吸科、血液肿瘤科、中医外科
北京市,朝阳区,北京中日友好医院,朝阳区樱花东路2号,100029,010-64221122、64222969,何惠宇,1300,三甲,2000,胸外科、皮肤科、肛肠科、心血管内科、肾脏内科、消化内科、内分泌科、心外科、ICU科等
北京市,朝阳区,首都儿科研究所附属儿童医院,朝阳区雅宝路2号,100020,010-65128362、65127766,童奔,300,三甲,1676,呼吸内科、哮喘、心血管内科、新生儿疾病科、神经内科、心肌炎内科、消化内科、内分泌科等
北京市,朝阳区,首都医科大学附属北京红十字朝阳医院,朝阳区白家庄路8号,100020,010-85231000(总机),高居忠,1030,三甲,3000,急危重症医学、介入治疗、微创手术、器官移植与人工假体、分子生物医学与基因诊疗等
北京市,朝阳区,中国医学科学院肿瘤医院,朝阳区潘家园南里17号,100210,010-67781331(总机),赵平,1020,三甲,560,头颈科、胸部科、腹部科、泌尿科、妇瘤科
北京市,朝阳区,首都医科大学附属北京安贞医院,朝阳区安定门外安贞西里,100029,010-64412431(总机),张兆光,663,三甲,1800,心脏外科、心脏内科、小儿心脏科、呼吸内科、胸外科、心管科
北京市,西城区,北京大学人民医院,西城区西直门南大街11号,100044,010-68314422(总机),吕厚山,1050,三甲,4000,血液病科、肝病科、骨关节炎科、骨神经科、小儿骨科、妇产科、心血管内科、泌尿内科、儿内科、儿外科、肿瘤科、皮肤科、口腔科、内科等
北京市,西城区,北京市急救中心,西城区前门西大街103号,100031,010-66012863、66098409,赵永春,100,三甲,876,神经外科、放射科、传染病科、普外科、心血管内科
北京市,西城区,北京大学第一医院(北大医院),西城区西什库大街8号,100034,010-66171122、66176583、66176585,章友康,1147,三甲,4000,眼科、小儿眼科、泌尿外科、神经内科、肾脏内科、心血管外科、妇产科、小儿科、胆道疾病、脑血管疾病、普外科、呼吸内科、中西医结合科、骨科、烧伤科、放射治疗科、体外冲击波碎石、胰十二指肠切除术、全盆脏器切除术、心脏搭桥术、关节置换术、门脉分流断流术等
北京市,西城区,首都医科大学附属北京儿童医院,西城区南礼士路167号,100045,010-68020376、68028401,李仲智,723,三甲,4000,儿科急救、新生儿疾病、呼吸内科、消化内科、心血管内科、泌尿内科、神经内科、胸外科、骨科、烧伤科、小儿白血病等
北京市,西城区,中国医学科学院阜外心血管病医院,西城区北礼士路167号,100037,010-68314466（总机）、68331765、68315943,胡盛寿,600,三甲,500,心血管内科、心血管外科、大动脉炎、冠心病、肺心病、肺血管病等
北京市,西城区,首都医科大学北京安定医院,西城区德胜门外安康胡同5号,100088,010-82085307、62013330,蔡焯基,800,三甲,400,老年精神科、儿童精神科、临床心理科、司法鉴定科、中国药物依赖治疗中心、中医科等
北京市,西城区,北京协合医院(西院)(原：北京邮电总医院),西城区大木仓胡同41号,100032,010-88068066、88068223,戚可名,700,三甲,1000,心血管外科、肝胆外科、心血管内科、内科、外科、妇科、儿科等
北京市,西城区,首都医科大学附属复兴医院,西城区复兴门外大街14号,100045,010-88062942、63482470,赵静,650,三甲,2000,宫腔镜治疗中心、血液透析中心、ICU、CCU、整形整容外科中心、妇科疾病等
北京市,西城区,北京积水潭医院,西城区新街口东街31号,100035,010-66167631(总机)、66181603,蔺锡侯,950,三甲,3000,骨科、烧伤科、创伤科、矫形科、呼吸内科、消化内科、血液内科、泌尿内科、神经内科、眼科、恶性骨肿瘤等
北京市,海淀区,北京大学第三医院,海淀区花园北路49号,100083,010-62017691(总机),侯宽永,945,三甲,,不育症、骨科、运动医学、心血管内科、职业病科、消化内科、成形外科、神经内科、呼吸内科等
北京市,海淀区,中国中医研究院西苑医院,海淀区西苑操场1号,100091,010-62860397,王书臣,546,三甲,2300,心血管老年病、血液病科、神经内科、疼痛门诊、肿瘤科、类风湿科、肾病、糖尿病等
北京市,海淀区,北京大学第六医院北京大学精神卫生研究所,海淀花园北路51号,100083,010-62091936、62091908,于欣,200,三甲,212,精神病、精神卫生
北京市,海淀区,北京市海淀医院,海淀区海淀路151号,100080,010-62551991、62559804,于小千,500,三甲,2000,中医、妇产、内分泌血液内科、肿瘤泌尿外科等
北京市,海淀区,北京肿瘤医院北京市肿瘤防治研究所,海淀区阜成路52号,100036,010-88122445、88122456,游伟程,505,三甲,400,胃癌、大肠癌、肝癌、食道癌、血液淋巴系统肿瘤科、肺癌、乳腺癌等
北京市,海淀区,北京铁路总医院,海淀区羊坊店,100038,010-51875544(总机),封国生,850,三甲,3600,眼科、妇产科、心血管内科、神经内科、肿瘤防治、病理诊断科
北京市,石景山区,中国医学科学院整形外科医院,石景山八大处路西下庄,100041,010-88703719、88964137,陈国章,328,三甲,758,整形外科及医学美容、急诊科、颅颌面外科
北京市,石景山区,电子工业部四零二医院,石景山路5号,100039,010-68216644、68276847,张院长,500,三甲,967,内科、儿科、妇产科、颌面整形外科等
北京市,崇文区,首都医科大学附属北京同仁医院,崇文门大街2号,100730,010-65135310、65129911、65129312,韩德民,850,三甲,4000,眼科、耳鼻咽喉科、心血管疾病诊疗、胆肝外科、糖尿病会诊、泌尿外科会诊、国际眼病诊疗、白内障、屈光矫治中心、激光诊疗、临床听力学中心、人工耳蜗植入中心、糖尿病等
北京市,崇文区,首都医科大学附属北京口腔医院,崇文区天坛西里4号,100050,010-67025154、67013355,孙正,80,三甲,1500,口腔正畸科、口腔颌面外科、麻醉科、口腔外科等
北京市,崇文区,首都医科大学附属北京天坛医院,崇文区天坛西里6号,100050,010-65113164、67016611、67018510,戴建平,880,三甲,2000,神经内科、神经外科、医学影像中心、g-刀治疗中心等
北京市,宣武区,中国中医研究院北京广安门医院,宣武区广安门内北线阁5号,100053,010-88001222、63013311、88001000,姜在阳,505,三甲,2200,肿瘤科、肛肠科、眼科、内二科、骨科、针灸科、内科、皮肤科等
北京市,宣武区,首都医科大学宣武医院,宣武区长椿街45号,100053,010-63013355(总机)、63012835,张健,730,三甲,3000,神经内科、心血管内科、神经外科、老年病医疗中心、眼科、耳喉鼻科、血液内科、急诊科等
北京市,宣武区,首都医科大学附属北京友谊医院,宣武区永安路95号,100050,010-63014411、63154648、63023261,高东宸,960,三甲,4000,心胸外科、泌尿外科、眼科、心血管内科、消化内科、感染内科、普外科、骨科、肝病中心、肿瘤中心、热带医学、器官移植、血液科、麻醉科、麻风病、放射科等
北京市,丰台区,北京中医药大学东方医院,丰台区方庄芳星园一区6号,100078,010-67689620、67689653,王玉来,638,三甲,2000,中医脑病中心、全国急症中心、中医内科基地、糖尿病及其并发症和周围血管病的综合治疗
北京市,丰台区,北京右安医院(原北京市第二传染病医院),丰台区右安门外西头条8号,100054,010-63292211,赵春惠,550,三甲,1500,传染病、肝病消化、肝病内分泌科、肝胆外科、感染性疾病科、中西医结合科等
北京市,丰台区,中国康复研究中心(北京博爱医院),丰台区角门北路10号,100077,010-67563322、67213322,李建甲,665,三甲,135,创伤性截瘫科、脑血管意外后偏瘫、脊髓损伤康复科、骨关节康复科等
北京市,通州区,北京市结核病胸部肿瘤研究所北京胸部肿瘤结核病医院,通州区北马厂97号,101149,010-69543261(总机),傅瑜,603,三甲,102,胸部肿瘤、结核病、肺癌诊疗中心等
北京市,海淀区,中国人民解放军总医院（三零一医院）,海淀区复兴路28号,100852,010-66887329、66937329,朱士骏,1600,三甲,2740,耳鼻咽喉头颈外科、骨科、老年医学、心血管内外科、神经内外科、眼科、内分泌科、肾病科、医学影像、临床护理等
北京市,丰台区,中国人民解放军三零二医院,丰台区丰台路26号,100039,010-63831865、66933203,吕占秀,600,三甲,2134,病毒性肝炎、烧伤科、传染病科等
北京市,海淀区,中国人民解放军三零四医院,海淀区阜成路51号,100037,010-66867218、66867304,陈晓红,800,三甲,822,顽固性癫痫病、心血管内科、创伤外科、急救、危重病救治、、烧伤科、骨科、呼吸科、整形科、脑外科、肿瘤科等
北京市,西城区,中国人民解放军第三零五医院,西城区文津街甲13号,100017,010-63096032、63094213,张清华,200,三甲,1116,老年病、老年心血管疾病
北京市,朝阳区,中国人民解放军第三零六医院,朝阳区德外安翔北路9号,100101,010-66356308、66356729,邹德威,600,三甲,1300,脊柱外科、心血管中心、腹部外科、糖尿病、肿瘤中心、骨科、神经外科、肝胆外科
北京市,海淀区,中国人民解放军三零七医院军事医学院附属医院,海淀区北太平路2号,100039,010-66931701、68276209,罗卫东,420,三甲,1321,肝胆外科、泌尿外科、骨科、脑外科、放射病、急性中毒科、血液病、肿瘤科等
北京市,海淀区,中国人民解放军第三零九医院,海淀区黑山扈甲17号,100091,010-66767729、66767722(总机),蔡忠军,720,三甲,2500,骨科、泌尿外科、肾移植术、肝胆外科、放射科、呼吸内科、神经内科、妇科、颅脑外科等
北京市,海淀区,海军总医院,海淀区阜成路6号,100037,010-68587733、66958024,杨晔,980,三甲,1500,神经外科中心、耳鼻喉科中心、高压氧医学中心、放射医学影像中心、微电极准分子治疗中心、γ-刀治疗中心、呼吸内科、消化内科、血液内科、神经内科、普外科、中医针灸科、眼科、胸外科等
北京市,海淀区,空军总医院,海淀区阜成路30号,100036,010-66928127、66928502,刘福祥,1000,三甲,1800,西医正骨科、皮肤科、血液科、内分泌科、心血管内科、心胸外科、神经外科、中医肾病科、性病、航空病中心等
北京市,东城区,北京军区总医院,东城区东四六条南门仓5号,100700,010-66721629（总机）、64069037,闫士宗,1000,三甲,2763,肝病、创伤骨科、心胸外科、消化内科等
北京市,海淀区,武警总医院,海淀区永定路69号,100039,010-68212211、68212255,王发强,700,三甲,800,骨科、心血管内科、神经外科、耳鼻咽喉科、眼科、口腔科、泌尿外科、普外科等
北京市,西城区,武警北京市一总队第二医院,西城南礼士路5号,100037,010-66845599、68031177,蒋均运,350,三甲,716,类风湿骨科等
北京市,海淀区,中国人民解放军四六六医院,海淀区北洼路北口昌运宫15号,100089,010-68412225(总机)、68417530,,600,三甲,900,心血管内科、心脏外科、消化、呼吸内科、全身介入治疗等
北京市,朝阳区,中国中医研究院望京医院北京市针灸骨伤学院附属医院,朝阳区望京中环南路6号,100102,010-64711199(总机),胡荫奇,450,三乙,203,腰腿疼、颈椎病、针灸科、骨伤科等
北京市,朝阳区,北京酒仙桥医院,朝阳区酒仙桥一街坊6号,100016,010-64362631,胡鸿藻,520,三乙,1600,内科、外科、中医科、耳鼻喉科、口腔科
北京市,宣武区,宣武区中医院,宣武区万明路甲8号,100050,010-63153614,王因海,282,三乙,863,脉管炎科、烧伤科、周围血管疾病、结缔组织病等
北京市,昌平区,北京回龙观医院,昌平区回龙观镇,100096,010-62715511-320、62913261,曹连元,1438,三乙,1600,精神病康复科、临床心理科、精神病合并肝炎、结核症及其他障碍科、老年精神病科、司法精神医学鉴定科等
北京市,朝阳区,武警北京市一总队医院,朝阳东三里屯1号院,100027,010-64161188、64173686,吴恩,400,三乙,815,普外科、骨科、神经外科、胸外科等
